evidence_id,source_title,source_owner,source_type,evidence_level,url,published_at,known_at,observed_at,point_in_time_status,claim,support_scope,exclusion,related_node_ids,related_entity_names,geography,status,conflict_ids,review_due,notes
EV052,Green data center policy and energy-efficiency requirements,Ministry of Industry and Information Technology of China,government_policy,A,https://www.miit.gov.cn/zwgk/zcwj/wjfb/tz/art/2024/art_9e5d95a6a555421a97896361ce8f577e.html,2024-06-06,2024-06-06,2026-08-28T00:30:00+08:00,confirmed_before_as_of,"China policy promotes green, efficient data centers and strengthens energy-efficiency requirements.",Supports final-payer incentives for efficient cooling and facility upgrades.,Policy does not prove specific liquid-cooling orders or company benefits.,"N17,N19,N20,N28",MIIT,China,active,,2026-11-30,
EV053,OCP China Day 2026,Open Compute Project,industry_event,A,https://www.opencompute.org/blog/2026-ocp-china-day-driving-open-ai-data-center-innovation,2026-07-09,2026-07-09,2026-08-28T00:30:00+08:00,confirmed_before_as_of,OCP China Day focused on open AI data-center design and liquid-cooling ecosystems in China.,Supports active Chinese ecosystem development and standards participation.,Conference participation does not prove orders or supplier qualification.,"N02,N04,N05,N08,N23",OCP China community,China,active,,2026-11-30,
EV054,Trane DCDA CDU for Asia Pacific,Trane Technologies,official_press_release,B,https://www.tranetechnologies.cn/zh_cn/index/news/2026/Trane-Launches-Advanced-CDU-to-Enhance-Liquid-Cooling-Efficiency-in-Asia-Pacific-Data-Centers1.html,2026-01-22,2026-01-22,2026-08-28T00:30:00+08:00,confirmed_before_as_of,Trane launched an Asia-Pacific CDU product for high-density data centers.,Confirms international HVAC suppliers entering the CDU market in Asia-Pacific.,"Does not prove installations, orders or differentiation.","N08,N09,N10,N11,N12,N13",Trane Technologies,Asia-Pacific,active,,2026-11-30,
EV055,LÜDECKE Universal Quick Disconnect,Open Compute Project / LÜDECKE,standard_product_directory,A,https://www.opencompute.org/products/824/ludecke-universal-quick-disconnect-uqd,,,2026-08-28T00:30:00+08:00,current_page_needs_archive_confirmation,LÜDECKE offers an OCP UQD with stainless-steel construction and media identification.,Confirms further multisourcing in the standardized connector node.,"Does not prove orders, price or qualification at a specific customer.",N04,"LÜDECKE,OCP",global,active,,2026-11-30,Undated product directory; point-in-time archive confirmation required.
EV056,KRES Universal Quick Disconnect,Open Compute Project / KRES,standard_product_directory,A,https://www.opencompute.org/products/624/kres-universal-quick-disconnect-uqd,,,2026-08-28T00:30:00+08:00,current_page_needs_archive_confirmation,KRES offers OCP-compliant flat-face UQD couplings.,Confirms a broader supplier pool and potential price/qualification competition.,Does not prove orders or installed base.,N04,"KRES,OCP",global,active,,2026-11-30,Undated product directory; point-in-time archive confirmation required.
EV057,BEEHE Universal Quick Disconnect,Open Compute Project / BEEHE,standard_product_directory,A,https://www.opencompute.org/products/704/beehe-universal-quick-disconnect-uqd,,,2026-08-28T00:30:00+08:00,current_page_needs_archive_confirmation,BEEHE offers OCP-spec UQD products with multiple seals and high-cycle claims.,Confirms Chinese/Asian supplier entry into standardized connector ecosystem.,"Directory/product claims do not prove customer qualification, orders or long-term field reliability.",N04,"BEEHE,OCP",global,active,,2026-11-30,Undated product directory; point-in-time archive confirmation required.
EV058,BEEHE IB2000 Deschutes CDU,Open Compute Project / BEEHE,standard_product_directory,A,https://www.opencompute.org/products/795/beehe-ib2000-in-row-l2l-deschutes-5-cdu,,,2026-08-28T00:30:00+08:00,current_page_needs_archive_confirmation,BEEHE lists a 2 MW Deschutes-based CDU with redundant pumps/power and filtration.,Confirms multiple suppliers can implement open high-capacity CDU designs.,"Does not prove orders, field reliability or margin.","N08,N09,N10,N11,N12,N13","BEEHE,OCP",global,active,,2026-11-30,Undated product directory; point-in-time archive confirmation required.
EV059,Castrol ON Direct Liquid Cooling PG25,Open Compute Project / Castrol,standard_product_directory,A,https://www.opencompute.org/products/788/castrol-on-direct-liquid-cooling-pg-25,,,2026-08-28T00:30:00+08:00,current_page_needs_archive_confirmation,Castrol provides OCP-listed PG25 coolant for direct-to-chip cooling.,"Confirms large fluid suppliers are entering the node, increasing supply options.","Does not prove order scale, price power or universal compatibility.","N14,N18,N29","Castrol,BP,OCP",global,active,,2026-11-30,Undated product directory; point-in-time archive confirmation required.
EV060,Pegatron ORv3 cold-plate liquid-cooled server,Open Compute Project / Pegatron,standard_product_directory,A,https://www.opencompute.org/products/721/pegatron-ms303-2a1s-2ou-2-node-orv3-server,,,2026-08-28T00:30:00+08:00,current_page_needs_archive_confirmation,Pegatron offers an ORv3 server with cold-plate liquid cooling for high-power CPUs.,Confirms ODM/OEM integration and open rack compatibility.,"Does not disclose cold-plate suppliers, deployment scale or economics.","N01,N02,N03,N04,N05,N23","Pegatron,OCP",global,active,,2026-11-30,Undated product directory; point-in-time archive confirmation required.
EV061,LiquidStack CDU-1MW,LiquidStack,official_press_release,B,https://liquidstack.com/news/cdu-1mw-new-family,2024-08-22,2024-08-22,2026-08-28T00:30:00+08:00,confirmed_before_as_of,LiquidStack launched a universally compatible 1.35 MW-class CDU for direct-to-chip cooling and cited supply constraints in the CDU segment.,Supports commercial availability and the possibility that CDU constraints attract rapid capacity additions.,Vendor statement does not prove market-wide shortage or margin durability.,"N08,N09,N10,N11,N12,N13",LiquidStack,global,active,,2026-11-30,
EV062,Valeo CDUs and manifolds for two-phase DTC enter commercial production,ZutaCore / Valeo,official_press_release,B,https://blog.zutacore.com/press-releases/valeo-hru-jan25,2025-01-06,2025-01-06,2026-08-28T00:30:00+08:00,confirmed_before_as_of,Valeo CDUs and manifolds compatible with ZutaCore two-phase DTC entered commercial production.,Confirms two-phase DTC has a commercial component ecosystem beyond the technology developer.,"Does not prove customer deployments, scale or profitability.","N05,N08,N15,N22,N34","Valeo,ZutaCore",global,active,,2026-11-30,
EV063,Trane Technologies completes acquisition of LiquidStack,Trane Technologies / LiquidStack,official_press_release,B,https://liquidstack.com/news/trane-technologies-completes-acquisition-of-liquidstack,2026-03-03,2026-03-03,2026-08-28T00:30:00+08:00,confirmed_before_as_of,Trane completed the acquisition of LiquidStack to expand chip-to-plant cooling capabilities.,Supports consolidation and end-to-end system competition.,Does not prove integration success or future returns.,"N08,N17,N19,N21,N24,N28,N33","Trane Technologies,LiquidStack",global,active,,2026-11-30,
EV064,Ironwood TPU liquid cooling,Google,official_blog,A,https://blog.google/intl/zh-tw/products/cloud/ironwood-the-first-google-tpu-for-the-age-of-inference/,2025-04-09,2025-04-09,2026-08-28T00:30:00+08:00,confirmed_before_as_of,Google stated Ironwood uses advanced liquid cooling to sustain demanding AI workloads.,Confirms custom accelerators and platform owners continue to make liquid cooling part of the compute architecture.,Does not prove third-party supplier relationships or all-rack adoption.,"N01,N02,N03,N08,N23",Google,global,active,,2026-11-30,
EV065,NVIDIA Blackwell platform arrives,NVIDIA,official_press_release,A,https://nvidianews.nvidia.com/news/nvidia-blackwell-platform-arrives-to-power-a-new-era-of-computing,2024-03-18,2024-03-18,2026-08-28T00:30:00+08:00,confirmed_before_as_of,NVIDIA introduced GB200 NVL72 as a liquid-cooled rack-scale system for compute-intensive workloads.,Confirms liquid cooling is embedded in the accelerator platform architecture.,Does not identify cooling suppliers or prove profitability.,"N01,N02,N03,N04,N05,N08,N23",NVIDIA,global,active,,2026-11-30,
